Country1,Country2,distance2,Label2,test
Japan,Japan,0,sure-not-crossing,JapanJapan
Jordan,Jordan,0,sure-not-crossing,JordanJordan
Kazakhstan,Kazakhstan,0,sure-not-crossing,KazakhstanKazakhstan
Kenya,Kenya,0,sure-not-crossing,KenyaKenya
Korea,Korea,0,sure-not-crossing,KoreaKorea
Korea,South Korea,0,sure-not-crossing,KoreaSouth Korea
Kuwait,Kuwait,0,sure-not-crossing,KuwaitKuwait
Latvia,Latvia,0,sure-not-crossing,LatviaLatvia
Lebanon,Lebanon,0,sure-not-crossing,LebanonLebanon
Libya,Libya,0,sure-not-crossing,LibyaLibya
Lithuania,Lithuania,0,sure-not-crossing,LithuaniaLithuania
Luxembourg,Luxembourg,0,sure-not-crossing,LuxembourgLuxembourg
Malawi,Malawi,0,sure-not-crossing,MalawiMalawi
Malaysia,Malaysia,0,sure-not-crossing,MalaysiaMalaysia
Malta,Malta,0,sure-not-crossing,MaltaMalta
Mexico,Mexico,0,sure-not-crossing,MexicoMexico
Moldova,Moldova,0,sure-not-crossing,MoldovaMoldova
Montenegro,Montenegro,0,sure-not-crossing,MontenegroMontenegro
Morocco,Morocco,0,sure-not-crossing,MoroccoMorocco
Mozambique,Mozambique,0,sure-not-crossing,MozambiqueMozambique
Namibia,Namibia,0,sure-not-crossing,NamibiaNamibia
Nepal,Nepal,0,sure-not-crossing,NepalNepal
Netherlands,Caribbean Netherlands,0,sure-not-crossing,NetherlandsCaribbean Netherlands
Netherlands,Netherlands,0,sure-not-crossing,NetherlandsNetherlands
New Zealand,New Zealand,0,sure-not-crossing,New ZealandNew Zealand
Niger,Niger,0,sure-not-crossing,NigerNiger
Niger,Nigeria,0,sure-not-crossing,NigerNigeria
Nigeria,Niger,0,sure-not-crossing,NigeriaNiger
Nigeria,Nigeria,0,sure-not-crossing,NigeriaNigeria
Norway,Norway,0,sure-not-crossing,NorwayNorway
Pakistan,Pakistan,0,sure-not-crossing,PakistanPakistan
Panama,Panama,0,sure-not-crossing,PanamaPanama
Paraguay,Paraguay,0,sure-not-crossing,ParaguayParaguay
Peru,Peru,0,sure-not-crossing,PeruPeru
Philippines,Philippines,0,sure-not-crossing,PhilippinesPhilippines
Poland,Poland,0,sure-not-crossing,PolandPoland
Portugal,Portugal,0,sure-not-crossing,PortugalPortugal
Puerto Rico,Puerto Rico,0,sure-not-crossing,Puerto RicoPuerto Rico
Qatar,Qatar,0,sure-not-crossing,QatarQatar
Republic of Macedonia,Republic of Macedonia,0,sure-not-crossing,Republic of MacedoniaRepublic of Macedonia
Romania,Romania,0,sure-not-crossing,RomaniaRomania
Russia,Russia,0,sure-not-crossing,RussiaRussia
SÃ£o TomÃ© and PrÃ­ncipe,SÃ£o TomÃ© and PrÃ­ncipe,0,sure-not-crossing,SÃ£o TomÃ© and PrÃ­ncipeSÃ£o TomÃ© and PrÃ­ncipe
Saudi Arabia,Saudi Arabia,0,sure-not-crossing,Saudi ArabiaSaudi Arabia
Senegal,Senegal,0,sure-not-crossing,SenegalSenegal
Serbia,Serbia,0,sure-not-crossing,SerbiaSerbia
Serbia,Serbia and montenegro,0,sure-not-crossing,SerbiaSerbia and montenegro
Serbia and montenegro,Serbia,0,sure-not-crossing,Serbia and montenegroSerbia
Serbia and montenegro,Serbia and montenegro,0,sure-not-crossing,Serbia and montenegroSerbia and montenegro
Sierra Leone,Sierra Leone,0,sure-not-crossing,Sierra LeoneSierra Leone
Singapore,Singapore,0,sure-not-crossing,SingaporeSingapore
Slovakia,Slovakia,0,sure-not-crossing,SlovakiaSlovakia
Slovenia,Slovenia,0,sure-not-crossing,SloveniaSlovenia
South Africa,South Africa,0,sure-not-crossing,South AfricaSouth Africa
South Korea,Korea,0,sure-not-crossing,South KoreaKorea
South Korea,South Korea,0,sure-not-crossing,South KoreaSouth Korea
Spain,Spain,0,sure-not-crossing,SpainSpain
Sri Lanka,Sri Lanka,0,sure-not-crossing,Sri LankaSri Lanka
Suriname,Suriname,0,sure-not-crossing,SurinameSuriname
Sweden,Sweden,0,sure-not-crossing,SwedenSweden
Switzerland,Switzerland,0,sure-not-crossing,SwitzerlandSwitzerland
Syria,Syria,0,sure-not-crossing,SyriaSyria
Taiwan,Taiwan,0,sure-not-crossing,TaiwanTaiwan
Tanzania,Tanzania,0,sure-not-crossing,TanzaniaTanzania
Thailand,Thailand,0,sure-not-crossing,ThailandThailand
Trinidad and Tobago,Trinidad and Tobago,0,sure-not-crossing,Trinidad and TobagoTrinidad and Tobago
Tunisia,Tunisia,0,sure-not-crossing,TunisiaTunisia
Turkey,Turkey,0,sure-not-crossing,TurkeyTurkey
Ukraine,Ukraine,0,sure-not-crossing,UkraineUkraine
United Arab Emirates,United Arab Emirates,0,sure-not-crossing,United Arab EmiratesUnited Arab Emirates
United Kingdom,United Kingdom,0,sure-not-crossing,United KingdomUnited Kingdom
United States,United States,0,sure-not-crossing,United StatesUnited States
Uruguay,Uruguay,0,sure-not-crossing,UruguayUruguay
Venezuela,Venezuela,0,sure-not-crossing,VenezuelaVenezuela
Vietnam,Vietnam,0,sure-not-crossing,VietnamVietnam
Zambia,Zambia,0,sure-not-crossing,ZambiaZambia
Armenia,Azerbaijan,0.019736842,sure-not-crossing,ArmeniaAzerbaijan
Azerbaijan,Armenia,0.019736842,sure-not-crossing,AzerbaijanArmenia
Qatar,United Arab Emirates,0.038361526,sure-not-crossing,QatarUnited Arab Emirates
United Arab Emirates,Qatar,0.038361526,sure-not-crossing,United Arab EmiratesQatar
Australia,United States,0.053041169,sure-not-crossing,AustraliaUnited States
United States,Australia,0.053041169,sure-not-crossing,United StatesAustralia
Belarus,Ukraine,0.060297049,sure-not-crossing,BelarusUkraine
Ukraine,Belarus,0.060297049,sure-not-crossing,UkraineBelarus
Honduras,Sierra Leone,0.065789474,sure-not-crossing,HondurasSierra Leone
Kuwait,United Arab Emirates,0.065789474,sure-not-crossing,KuwaitUnited Arab Emirates
Malawi,Sierra Leone,0.065789474,sure-not-crossing,MalawiSierra Leone
Sierra Leone,Honduras,0.065789474,sure-not-crossing,Sierra LeoneHonduras
Sierra Leone,Malawi,0.065789474,sure-not-crossing,Sierra LeoneMalawi
United Arab Emirates,Kuwait,0.065789474,sure-not-crossing,United Arab EmiratesKuwait
Romania,Serbia,0.069000582,sure-not-crossing,RomaniaSerbia
Romania,Serbia and montenegro,0.069000582,sure-not-crossing,RomaniaSerbia and montenegro
Serbia,Romania,0.069000582,sure-not-crossing,SerbiaRomania
Serbia and montenegro,Romania,0.069000582,sure-not-crossing,Serbia and montenegroRomania
Malawi,Nepal,0.073554868,sure-not-crossing,MalawiNepal
Nepal,Malawi,0.073554868,sure-not-crossing,NepalMalawi
Kazakhstan,Montenegro,0.074432293,sure-not-crossing,KazakhstanMontenegro
Montenegro,Kazakhstan,0.074432293,sure-not-crossing,MontenegroKazakhstan
Moldova,Montenegro,0.076723051,sure-not-crossing,MoldovaMontenegro
Montenegro,Moldova,0.076723051,sure-not-crossing,MontenegroMoldova
Estonia,Lithuania,0.08057532,sure-not-crossing,EstoniaLithuania
Lithuania,Estonia,0.08057532,sure-not-crossing,LithuaniaEstonia
Armenia,Republic of Macedonia,0.081110711,sure-not-crossing,ArmeniaRepublic of Macedonia
Republic of Macedonia,Armenia,0.081110711,sure-not-crossing,Republic of MacedoniaArmenia
Bosnia and Herzegovina,Republic of Macedonia,0.08164259,sure-not-crossing,Bosnia and HerzegovinaRepublic of Macedonia
Republic of Macedonia,Bosnia and Herzegovina,0.08164259,sure-not-crossing,Republic of MacedoniaBosnia and Herzegovina
Armenia,Serbia,0.084508109,sure-not-crossing,ArmeniaSerbia
Armenia,Serbia and montenegro,0.084508109,sure-not-crossing,ArmeniaSerbia and montenegro
Serbia,Armenia,0.084508109,sure-not-crossing,SerbiaArmenia
Serbia and montenegro,Armenia,0.084508109,sure-not-crossing,Serbia and montenegroArmenia
Paraguay,Peru,0.089483359,sure-not-crossing,ParaguayPeru
Peru,Paraguay,0.089483359,sure-not-crossing,PeruParaguay
Azerbaijan,Serbia,0.091160569,sure-not-crossing,AzerbaijanSerbia
Azerbaijan,Serbia and montenegro,0.091160569,sure-not-crossing,AzerbaijanSerbia and montenegro
Serbia,Azerbaijan,0.091160569,sure-not-crossing,SerbiaAzerbaijan
Serbia and montenegro,Azerbaijan,0.091160569,sure-not-crossing,Serbia and montenegroAzerbaijan
Honduras,Malawi,0.093040366,sure-not-crossing,HondurasMalawi
Malawi,Honduras,0.093040366,sure-not-crossing,MalawiHonduras
Bolivia,Paraguay,0.093272677,sure-not-crossing,BoliviaParaguay
Paraguay,Bolivia,0.093272677,sure-not-crossing,ParaguayBolivia
Republic of Macedonia,Serbia,0.093735571,sure-not-crossing,Republic of MacedoniaSerbia
Republic of Macedonia,Serbia and montenegro,0.093735571,sure-not-crossing,Republic of MacedoniaSerbia and montenegro
Serbia,Republic of Macedonia,0.093735571,sure-not-crossing,SerbiaRepublic of Macedonia
Serbia and montenegro,Republic of Macedonia,0.093735571,sure-not-crossing,Serbia and montenegroRepublic of Macedonia
Brazil,Turkey,0.095564731,sure-not-crossing,BrazilTurkey
Turkey,Brazil,0.095564731,sure-not-crossing,TurkeyBrazil
Guatemala,Panama,0.097136994,sure-not-crossing,GuatemalaPanama
Panama,Guatemala,0.097136994,sure-not-crossing,PanamaGuatemala
Azerbaijan,Montenegro,0.097803084,sure-not-crossing,AzerbaijanMontenegro
Azerbaijan,Republic of Macedonia,0.097803084,sure-not-crossing,AzerbaijanRepublic of Macedonia
Montenegro,Azerbaijan,0.097803084,sure-not-crossing,MontenegroAzerbaijan
Republic of Macedonia,Azerbaijan,0.097803084,sure-not-crossing,Republic of MacedoniaAzerbaijan
Nepal,Sierra Leone,0.098684211,sure-not-crossing,NepalSierra Leone
Sierra Leone,Nepal,0.098684211,sure-not-crossing,Sierra LeoneNepal
Bolivia,Peru,0.100207541,unsure,BoliviaPeru
Peru,Bolivia,0.100207541,unsure,PeruBolivia
Tanzania,Zambia,0.100207541,unsure,TanzaniaZambia
Zambia,Tanzania,0.100207541,unsure,ZambiaTanzania
Kuwait,Qatar,0.100638543,unsure,KuwaitQatar
Qatar,Kuwait,0.100638543,unsure,QatarKuwait
Armenia,Montenegro,0.102344403,unsure,ArmeniaMontenegro
Azerbaijan,Romania,0.102344403,unsure,AzerbaijanRomania
Montenegro,Armenia,0.102344403,unsure,MontenegroArmenia
Romania,Azerbaijan,0.102344403,unsure,RomaniaAzerbaijan
Armenia,Romania,0.106692597,unsure,ArmeniaRomania
Moldova,Russia,0.106692597,unsure,MoldovaRussia
Romania,Armenia,0.106692597,unsure,RomaniaArmenia
Russia,Moldova,0.106692597,unsure,RussiaMoldova
Algeria,SÃ£o TomÃ© and PrÃ­ncipe,0.107500886,unsure,AlgeriaSÃ£o TomÃ© and PrÃ­ncipe
SÃ£o TomÃ© and PrÃ­ncipe,Algeria,0.107500886,unsure,SÃ£o TomÃ© and PrÃ­ncipeAlgeria
Kuwait,Panama,0.10870205,unsure,KuwaitPanama
Panama,Kuwait,0.10870205,unsure,PanamaKuwait
Namibia,Senegal,0.1090995,unsure,NamibiaSenegal
Senegal,Namibia,0.1090995,unsure,SenegalNamibia
Iceland,Norway,0.109890086,unsure,IcelandNorway
Norway,Iceland,0.109890086,unsure,NorwayIceland
Panama,United Arab Emirates,0.112613439,unsure,PanamaUnited Arab Emirates
United Arab Emirates,Panama,0.112613439,unsure,United Arab EmiratesPanama
Senegal,Syria,0.113760635,unsure,SenegalSyria
Syria,Senegal,0.113760635,unsure,SyriaSenegal
Algeria,Libya,0.116764733,unsure,AlgeriaLibya
Libya,Algeria,0.116764733,unsure,LibyaAlgeria
Spain,Turkey,0.116949927,unsure,SpainTurkey
Turkey,Spain,0.116949927,unsure,TurkeySpain
Canada,United States,0.118785987,unsure,CanadaUnited States
United States,Canada,0.118785987,unsure,United StatesCanada
Libya,Morocco,0.118968035,unsure,LibyaMorocco
Morocco,Libya,0.118968035,unsure,MoroccoLibya
Azerbaijan,Moldova,0.119331297,unsure,AzerbaijanMoldova
Moldova,Azerbaijan,0.119331297,unsure,MoldovaAzerbaijan
Russia,Ukraine,0.121131267,unsure,RussiaUkraine
Ukraine,Russia,0.121131267,unsure,UkraineRussia
Egypt,Tunisia,0.121309795,unsure,EgyptTunisia
Tunisia,Egypt,0.121309795,unsure,TunisiaEgypt
Jordan,Libya,0.12184381,unsure,JordanLibya
Libya,Jordan,0.12184381,unsure,LibyaJordan
Tanzania,Thailand,0.122375495,unsure,TanzaniaThailand
Thailand,Tanzania,0.122375495,unsure,ThailandTanzania
Armenia,Moldova,0.124131331,unsure,ArmeniaMoldova
Moldova,Armenia,0.124131331,unsure,MoldovaArmenia
Panama,Qatar,0.12430555,unsure,PanamaQatar
Qatar,Panama,0.12430555,unsure,QatarPanama
Iran,Jordan,0.125345782,unsure,IranJordan
Jordan,Iran,0.125345782,unsure,JordanIran
Canada,New Zealand,0.129088269,unsure,CanadaNew Zealand
New Zealand,Canada,0.129088269,unsure,New ZealandCanada
Latvia,Lithuania,0.129255807,unsure,LatviaLithuania
Lithuania,Latvia,0.129255807,unsure,LithuaniaLatvia
Iran,Zambia,0.1299238,unsure,IranZambia
Zambia,Iran,0.1299238,unsure,ZambiaIran
Moldova,Ukraine,0.131907485,unsure,MoldovaUkraine
Ukraine,Moldova,0.131907485,unsure,UkraineMoldova
Moldova,Romania,0.132398762,unsure,MoldovaRomania
Romania,Moldova,0.132398762,unsure,RomaniaMoldova
Republic of Macedonia,Romania,0.13272527,unsure,Republic of MacedoniaRomania
Romania,Republic of Macedonia,0.13272527,unsure,RomaniaRepublic of Macedonia
Greece,Turkey,0.133375888,unsure,GreeceTurkey
Turkey,Greece,0.133375888,unsure,TurkeyGreece
Hungary,Italy,0.134023347,unsure,HungaryItaly
Italy,Hungary,0.134023347,unsure,ItalyHungary
Montenegro,Republic of Macedonia,0.1348283,unsure,MontenegroRepublic of Macedonia
Republic of Macedonia,Montenegro,0.1348283,unsure,Republic of MacedoniaMontenegro
Australia,Canada,0.135628475,unsure,AustraliaCanada
Canada,Australia,0.135628475,unsure,CanadaAustralia
Honduras,Nepal,0.135628475,unsure,HondurasNepal
Kenya,Malawi,0.135628475,unsure,KenyaMalawi
Kenya,Sierra Leone,0.135628475,unsure,KenyaSierra Leone
Malawi,Kenya,0.135628475,unsure,MalawiKenya
Nepal,Honduras,0.135628475,unsure,NepalHonduras
Sierra Leone,Kenya,0.135628475,unsure,Sierra LeoneKenya
Kazakhstan,Moldova,0.136106321,unsure,KazakhstanMoldova
Moldova,Kazakhstan,0.136106321,unsure,MoldovaKazakhstan
Croatia,Serbia,0.139094569,unsure,CroatiaSerbia
Croatia,Serbia and montenegro,0.139094569,unsure,CroatiaSerbia and montenegro
Serbia,Croatia,0.139094569,unsure,SerbiaCroatia
Serbia and montenegro,Croatia,0.139094569,unsure,Serbia and montenegroCroatia
Mexico,Venezuela,0.139405395,unsure,MexicoVenezuela
Venezuela,Mexico,0.139405395,unsure,VenezuelaMexico
Algeria,Jordan,0.139560549,unsure,AlgeriaJordan
Jordan,Algeria,0.139560549,unsure,JordanAlgeria
Bulgaria,Croatia,0.140024978,unsure,BulgariaCroatia
Burkina Faso,Senegal,0.140024978,unsure,Burkina FasoSenegal
Croatia,Bulgaria,0.140024978,unsure,CroatiaBulgaria
Senegal,Burkina Faso,0.140024978,unsure,SenegalBurkina Faso
Montenegro,Russia,0.140333743,unsure,MontenegroRussia
Russia,Montenegro,0.140333743,unsure,RussiaMontenegro
Dominican Republic,Ethiopia,0.140795622,unsure,Dominican RepublicEthiopia
Ethiopia,Dominican Republic,0.140795622,unsure,EthiopiaDominican Republic
Finland,Norway,0.140795622,unsure,FinlandNorway
Norway,Finland,0.140795622,unsure,NorwayFinland
Moldova,Republic of Macedonia,0.141409114,unsure,MoldovaRepublic of Macedonia
Republic of Macedonia,Moldova,0.141409114,unsure,Republic of MacedoniaMoldova
Georgia,Turkey,0.14262818,unsure,GeorgiaTurkey
Turkey,Georgia,0.14262818,unsure,TurkeyGeorgia
Armenia,Bosnia and Herzegovina,0.142931322,unsure,ArmeniaBosnia and Herzegovina
Bosnia and Herzegovina,Armenia,0.142931322,unsure,Bosnia and HerzegovinaArmenia
Canada,South Africa,0.143535686,unsure,CanadaSouth Africa
South Africa,Canada,0.143535686,unsure,South AfricaCanada
Belarus,Russia,0.14428758,unsure,BelarusRussia
Russia,Belarus,0.14428758,unsure,RussiaBelarus
Thailand,Zambia,0.145035577,unsure,ThailandZambia
Zambia,Thailand,0.145035577,unsure,ZambiaThailand
Moldova,Serbia,0.145184714,unsure,MoldovaSerbia
Moldova,Serbia and montenegro,0.145184714,unsure,MoldovaSerbia and montenegro
Serbia,Moldova,0.145184714,unsure,SerbiaMoldova
Serbia and montenegro,Moldova,0.145184714,unsure,Serbia and montenegroMoldova
Egypt,Kuwait,0.145631208,unsure,EgyptKuwait
Egypt,United Arab Emirates,0.145631208,unsure,EgyptUnited Arab Emirates
Kuwait,Egypt,0.145631208,unsure,KuwaitEgypt
United Arab Emirates,Egypt,0.145631208,unsure,United Arab EmiratesEgypt
Indonesia,Vietnam,0.146224413,unsure,IndonesiaVietnam
Vietnam,Indonesia,0.146224413,unsure,VietnamIndonesia
Azerbaijan,Bulgaria,0.146815221,unsure,AzerbaijanBulgaria
Bulgaria,Azerbaijan,0.146815221,unsure,BulgariaAzerbaijan
Bulgaria,Montenegro,0.147256772,unsure,BulgariaMontenegro
Montenegro,Bulgaria,0.147256772,unsure,MontenegroBulgaria
Angola,Cape Verde,0.147403661,unsure,AngolaCape Verde
Armenia,Croatia,0.147403661,unsure,ArmeniaCroatia
Cape Verde,Angola,0.147403661,unsure,Cape VerdeAngola
Croatia,Armenia,0.147403661,unsure,CroatiaArmenia
Croatia,Republic of Macedonia,0.147697002,unsure,CroatiaRepublic of Macedonia
Republic of Macedonia,Croatia,0.147697002,unsure,Republic of MacedoniaCroatia
Belarus,Moldova,0.147989762,unsure,BelarusMoldova
Moldova,Belarus,0.147989762,unsure,MoldovaBelarus
Croatia,Turkey,0.149300075,unsure,CroatiaTurkey
Turkey,Croatia,0.149300075,unsure,TurkeyCroatia
Bulgaria,Moldova,0.150455219,unsure,BulgariaMoldova
Moldova,Bulgaria,0.150455219,unsure,MoldovaBulgaria
Georgia,Poland,0.150598989,unsure,GeorgiaPoland
Poland,Georgia,0.150598989,unsure,PolandGeorgia
Honduras,Kenya,0.150742622,unsure,HondurasKenya
Kenya,Honduras,0.150742622,unsure,KenyaHonduras
Lebanon,Morocco,0.151315789,unsure,LebanonMorocco
Morocco,Lebanon,0.151315789,unsure,MoroccoLebanon
Jordan,Thailand,0.151886794,unsure,JordanThailand
Thailand,Jordan,0.151886794,unsure,ThailandJordan
Portugal,Uruguay,0.1527393,unsure,PortugalUruguay
Uruguay,Portugal,0.1527393,unsure,UruguayPortugal
Armenia,Bulgaria,0.153305003,unsure,ArmeniaBulgaria
Bulgaria,Armenia,0.153305003,unsure,BulgariaArmenia
Australia,New Zealand,0.154289992,unsure,AustraliaNew Zealand
Kenya,Nepal,0.154289992,unsure,KenyaNepal
Nepal,Kenya,0.154289992,unsure,NepalKenya
New Zealand,Australia,0.154289992,unsure,New ZealandAustralia
Finland,Iceland,0.154989724,unsure,FinlandIceland
Iceland,Finland,0.154989724,unsure,IcelandFinland
Azerbaijan,Croatia,0.155547242,unsure,AzerbaijanCroatia
Croatia,Azerbaijan,0.155547242,unsure,CroatiaAzerbaijan
SÃ£o TomÃ© and PrÃ­ncipe,Thailand,0.155964074,unsure,SÃ£o TomÃ© and PrÃ­ncipeThailand
Thailand,SÃ£o TomÃ© and PrÃ­ncipe,0.155964074,unsure,ThailandSÃ£o TomÃ© and PrÃ­ncipe
Peru,Portugal,0.156379794,unsure,PeruPortugal
Portugal,Peru,0.156379794,unsure,PortugalPeru
Suriname,Tunisia,0.157345536,unsure,SurinameTunisia
Tunisia,Suriname,0.157345536,unsure,TunisiaSuriname
Iran,Morocco,0.157757616,unsure,IranMorocco
Morocco,Iran,0.157757616,unsure,MoroccoIran
Georgia,Spain,0.158168622,unsure,GeorgiaSpain
Spain,Georgia,0.158168622,unsure,SpainGeorgia
Bangladesh,Burkina Faso,0.158305387,unsure,BangladeshBurkina Faso
Burkina Faso,Bangladesh,0.158305387,unsure,Burkina FasoBangladesh
Chile,Paraguay,0.158442034,unsure,ChileParaguay
Paraguay,Chile,0.158442034,unsure,ParaguayChile
Ghana,Mozambique,0.158851269,unsure,GhanaMozambique
Mozambique,Ghana,0.158851269,unsure,MozambiqueGhana
Azerbaijan,Kazakhstan,0.159666593,unsure,AzerbaijanKazakhstan
Kazakhstan,Azerbaijan,0.159666593,unsure,KazakhstanAzerbaijan
New Zealand,United States,0.159937444,unsure,New ZealandUnited States
United States,New Zealand,0.159937444,unsure,United StatesNew Zealand
Colombia,Venezuela,0.160072698,unsure,ColombiaVenezuela
Venezuela,Colombia,0.160072698,unsure,VenezuelaColombia
Ireland,New Zealand,0.160342863,unsure,IrelandNew Zealand
New Zealand,Ireland,0.160342863,unsure,New ZealandIreland
Azerbaijan,Bosnia and Herzegovina,0.160477775,unsure,AzerbaijanBosnia and Herzegovina
Bosnia and Herzegovina,Azerbaijan,0.160477775,unsure,Bosnia and HerzegovinaAzerbaijan
Peru,Uruguay,0.160612574,unsure,PeruUruguay
Uruguay,Peru,0.160612574,unsure,UruguayPeru
Armenia,Kazakhstan,0.160881832,unsure,ArmeniaKazakhstan
Kazakhstan,Armenia,0.160881832,unsure,KazakhstanArmenia
Montenegro,Romania,0.161820709,unsure,MontenegroRomania
Romania,Montenegro,0.161820709,unsure,RomaniaMontenegro
Croatia,Romania,0.16208796,unsure,CroatiaRomania
Romania,Croatia,0.16208796,unsure,RomaniaCroatia
Angola,Mozambique,0.163550038,unsure,AngolaMozambique
Bosnia and Herzegovina,Montenegro,0.163550038,unsure,Bosnia and HerzegovinaMontenegro
Montenegro,Bosnia and Herzegovina,0.163550038,unsure,MontenegroBosnia and Herzegovina
Mozambique,Angola,0.163550038,unsure,MozambiqueAngola
Czech Republic,Italy,0.164473684,unsure,Czech RepublicItaly
Italy,Czech Republic,0.164473684,unsure,ItalyCzech Republic
Montenegro,Serbia,0.164736632,unsure,MontenegroSerbia
Montenegro,Serbia and montenegro,0.164736632,unsure,MontenegroSerbia and montenegro
Serbia,Montenegro,0.164736632,unsure,SerbiaMontenegro
Serbia and montenegro,Montenegro,0.164736632,unsure,Serbia and montenegroMontenegro
Montenegro,Ukraine,0.166435666,unsure,MontenegroUkraine
Ukraine,Montenegro,0.166435666,unsure,UkraineMontenegro
Namibia,Syria,0.166954968,unsure,NamibiaSyria
Syria,Namibia,0.166954968,unsure,SyriaNamibia
Jordan,Morocco,0.167472659,unsure,JordanMorocco
Morocco,Jordan,0.167472659,unsure,MoroccoJordan
Kuwait,Tunisia,0.167730905,unsure,KuwaitTunisia
Tunisia,Kuwait,0.167730905,unsure,TunisiaKuwait
Ecuador,Kenya,0.167859879,unsure,EcuadorKenya
Kazakhstan,Russia,0.167859879,unsure,KazakhstanRussia
Kenya,Ecuador,0.167859879,unsure,KenyaEcuador
Russia,Kazakhstan,0.167859879,unsure,RussiaKazakhstan
Belgium,France,0.167988754,unsure,BelgiumFrance
France,Belgium,0.167988754,unsure,FranceBelgium
Bosnia and Herzegovina,Serbia,0.168374788,unsure,Bosnia and HerzegovinaSerbia
Bosnia and Herzegovina,Serbia and montenegro,0.168374788,unsure,Bosnia and HerzegovinaSerbia and montenegro
Serbia,Bosnia and Herzegovina,0.168374788,unsure,SerbiaBosnia and Herzegovina
Serbia and montenegro,Bosnia and Herzegovina,0.168374788,unsure,Serbia and montenegroBosnia and Herzegovina
Hong Kong,Vietnam,0.168888127,unsure,Hong KongVietnam
Peru,Thailand,0.168888127,unsure,PeruThailand
Thailand,Peru,0.168888127,unsure,ThailandPeru
Vietnam,Hong Kong,0.168888127,unsure,VietnamHong Kong
Turkey,Uruguay,0.169016218,unsure,TurkeyUruguay
Uruguay,Turkey,0.169016218,unsure,UruguayTurkey
Kuwait,Suriname,0.16927211,unsure,KuwaitSuriname
Suriname,Kuwait,0.16927211,unsure,SurinameKuwait
Georgia,Greece,0.16939991,unsure,GeorgiaGreece
